Original_Index,date,common_name,scientific_name,group_size,latitude,longitude,ssh_anomaly
0,2024-12-28 11:33:07,Fin whale,Balaenoptera physalus,4,37.14515,-74.54101,0.10292354951318494
1,2025-02-22 14:46:46,Fin whale,Balaenoptera physalus,1,38.3193,-73.84825,0.02529766742331056
2,2025-02-22 14:50:02,Fin whale,Balaenoptera physalus,1,38.31815,-73.85002,0.025289552752085744
3,2025-02-22 14:50:41,Humpback whale,Megaptera novaeangliae,2,38.30965,-73.82714,0.02548364424028432
4,2025-02-26 11:45:26,Humpback whale,Megaptera novaeangliae,2,38.80395,-72.99513,0.03292994355328517
5,2024-12-28 11:34:14,Fin whale,Balaenoptera physalus,4,37.16355,-74.54586,0.10297565224564653
6,2025-02-26 11:46:17,Humpback whale,Megaptera novaeangliae,2,38.81244,-73.00711,0.03271615837464989
7,2025-02-22 14:50:47,Humpback whale,Megaptera novaeangliae,2,38.30913,-73.82352,0.025511270176705764
8,2025-02-23 14:30:34,Fin whale,Balaenoptera physalus,1,37.49114,-74.39087,0.03175806244671787
9,2025-02-23 14:31:11,Humpback whale,Megaptera novaeangliae,1,37.48327,-74.37031,0.03194132304946954
10,2025-02-23 14:35:27,Humpback whale,Megaptera novaeangliae,1,37.49054,-74.38346,0.03178595317583274
11,2025-02-24 09:22:09,Fin whale,Balaenoptera physalus,2,38.18413,-73.8886,0.026009083372870553
12,2025-02-24 09:23:01,Common minke whale,Balaenoptera acutorostrata,1,38.17186,-73.86031,0.026360058357317858
13,2025-02-26 11:48:18,Fin whale,Balaenoptera physalus,1,38.82722,-72.97477,0.03310413329306052
14,2025-02-26 11:53:01,Fin whale,Balaenoptera physalus,1,38.90338,-73.09153,0.031167823010948226
15,2025-02-18 15:03:20,Fin whale,Balaenoptera physalus,1,36.66619,-74.69067,0.03330058109624616
16,2025-02-18 15:06:10,Fin whale,Balaenoptera physalus,2,36.73062,-74.65946,0.03312656211261083
17,2025-02-22 15:00:43,Fin whale,Balaenoptera physalus,1,38.19171,-73.72512,0.027324563946261027
18,2025-02-22 15:01:47,Fin whale,Balaenoptera physalus,1,38.16393,-73.73656,0.02748449834160056
19,2025-02-24 09:26:35,Common minke whale,Balaenoptera acutorostrata,1,38.18469,-73.89053,0.025988342121069433
20,2025-02-24 09:28:48,Fin whale,Balaenoptera physalus,1,38.15422,-73.81721,0.026887201830870146
21,2025-02-22 15:07:17,Fin whale,Balaenoptera physalus,1,38.23487,-73.82935,0.025871116216785457
22,2025-02-22 15:07:43,Fin whale,Balaenoptera physalus,1,38.24622,-73.83601,0.025692651060011406
23,2025-02-22 15:08:07,Humpback whale,Megaptera novaeangliae,2,38.25892,-73.83506,0.02562212252599879
24,2025-02-24 09:38:53,Fin whale,Balaenoptera physalus,1,38.15255,-73.82005,0.026884847302465723
25,2025-02-25 09:28:54,Fin whale,Balaenoptera physalus,1,37.20008,-74.55964,0.036542331643864535
26,2025-03-03 10:41:30,Humpback whale,Megaptera novaeangliae,1,37.26735,-74.55557,0.05988425468863858
27,2025-02-24 09:39:41,Common minke whale,Balaenoptera acutorostrata,1,38.14367,-73.79472,0.0271798973110008
28,2025-02-24 09:42:21,Fin whale,Balaenoptera physalus,1,38.12214,-73.77015,0.027618144872849467
29,2025-02-25 09:36:42,Humpback whale,Megaptera novaeangliae,2,37.20866,-74.57956,0.03630227190570935
30,2025-02-25 09:40:51,Fin whale,Balaenoptera physalus,1,37.22326,-74.55649,0.03603803196768603
31,2025-02-22 10:05:28,Humpback whale,Megaptera novaeangliae,1,38.39448,-73.49339,0.039729551311107475
32,2025-02-22 10:06:12,Humpback whale,Megaptera novaeangliae,1,38.38323,-73.50716,0.03959058280119045
33,2025-02-24 09:48:26,Fin whale,Balaenoptera physalus,1,38.13343,-73.94644,0.026136932266413948
34,2025-02-25 09:42:42,Humpback whale,Megaptera novaeangliae,2,37.201,-74.58828,0.03644954970315158
35,2025-02-25 09:42:59,Humpback whale,Megaptera novaeangliae,2,37.19822,-74.59619,0.036491010519685264
36,2025-02-25 11:56:06,Blue whale,Balaenoptera musculus,1,37.06681,-74.62614,0.039322169388322684
37,2025-02-25 11:57:00,Blue whale,Balaenoptera musculus,1,37.08502,-74.63102,0.03890717749024266
38,2025-02-26 10:10:32,Fin whale,Balaenoptera physalus,1,38.7406,-73.24345,0.029510142154540776
39,2025-02-26 10:11:28,Fin whale,Balaenoptera physalus,1,38.75009,-73.23051,0.029628344737971962
40,2025-02-22 10:10:17,Humpback whale,Megaptera novaeangliae,1,38.43284,-73.58463,0.03737447478326556
41,2025-02-22 10:15:58,Humpback whale,Megaptera novaeangliae,1,38.43629,-73.57339,0.037560016707677564
42,2025-02-23 15:12:40,Sperm whale,Physeter macrocephalus,1,37.78553,-74.08297,0.028777221508075605
43,2025-02-23 15:14:03,Sperm whale,Physeter macrocephalus,1,37.77793,-74.08491,0.0288405327839719
44,2025-02-25 12:03:51,Humpback whale,Megaptera novaeangliae,1,37.07738,-74.62389,0.039093959077941554
45,2025-02-26 10:17:44,Fin whale,Balaenoptera physalus,2,38.72615,-73.08132,0.03214234618407298
46,2025-02-22 12:44:00,North Atlantic right whale,Eubalaena glacialis,8,38.39316,-73.93637,0.024416530304611515
47,2025-02-23 15:19:09,Humpback whale,Megaptera novaeangliae,1,37.86159,-74.19653,0.026997019945146184
48,2025-02-23 15:20:16,Humpback whale,Megaptera novaeangliae,1,37.84661,-74.19493,0.02716373088097098
49,2025-02-25 12:11:37,Fin whale,Balaenoptera physalus,1,37.07899,-74.64352,0.03900942030396448
50,2025-01-24 14:13:04,Humpback whale,Megaptera novaeangliae,1,37.82607,-74.11353,0.04746628275887868
51,2025-01-27 11:10:48,Sperm whale,Physeter macrocephalus,1,38.22844,-73.81536,0.03851690456769808
52,2025-01-27 11:13:43,Sperm whale,Physeter macrocephalus,1,38.24422,-73.80962,0.03852754357282439
53,2025-01-25 09:28:37,Fin whale,Balaenoptera physalus,1,36.83639,-74.64515,0.0679745133142458
54,2025-01-25 09:29:29,Fin whale,Balaenoptera physalus,1,36.81318,-74.64325,0.06846528473042504
55,2025-01-27 09:23:52,Fin whale,Balaenoptera physalus,1,38.12404,-73.76578,0.03974558293643389
56,2025-01-27 09:28:09,Fin whale,Balaenoptera physalus,1,38.18463,-73.89057,0.03760262284618853
57,2025-01-27 09:30:20,Fin whale,Balaenoptera physalus,1,38.15814,-73.86529,0.03807689698319267
58,2025-01-27 09:31:17,Fin whale,Balaenoptera physalus,1,38.17824,-73.87893,0.03779766916153622
59,2025-01-24 14:59:06,Humpback whale,Megaptera novaeangliae,2,37.6423,-74.21067,0.05071134821586046
60,2025-01-24 15:00:03,Humpback whale,Megaptera novaeangliae,2,37.66146,-74.20249,0.05033106830566624
61,2025-01-24 15:02:01,Humpback whale,Megaptera novaeangliae,2,37.65032,-74.23256,0.05074346936056065
62,2025-01-24 15:16:13,Humpback whale,Megaptera novaeangliae,2,37.6282,-74.21781,0.050999104293800716
63,2025-03-19 11:11:27,Humpback whale,Megaptera novaeangliae,1,38.61398,-73.29725,0.039797807923083996
64,2025-03-25 10:32:07,Fin whale,Balaenoptera physalus,3,38.24397,-73.67499,0.05367336271212248
65,2025-03-25 10:32:38,Fin whale,Balaenoptera physalus,3,38.25499,-73.67715,0.05348814295452429
66,2025-03-28 13:44:35,Humpback whale,Megaptera novaeangliae,1,39.01514,-72.87994,0.029094601824609757
67,2025-03-28 13:47:26,Humpback whale,Megaptera novaeangliae,3,39.02059,-72.87224,0.028966240495944748
68,2025-03-28 13:50:51,Humpback whale,Megaptera novaeangliae,2,38.95213,-72.8262,0.028276037291811586
69,2025-03-23 12:41:18,Humpback whale,Megaptera novaeangliae,1,37.25867,-74.55983,0.07984414013786502
70,2025-03-23 12:42:35,Humpback whale,Megaptera novaeangliae,2,37.22707,-74.53243,0.07927573849188864
71,2025-03-23 12:45:23,Common minke whale,Balaenoptera acutorostrata,1,37.1985,-74.58969,0.0790115321143239
72,2025-03-23 12:46:03,Common minke whale,Balaenoptera acutorostrata,1,37.1857,-74.60767,0.07884765060967966
73,2025-03-23 17:03:12,Fin whale,Balaenoptera physalus,2,38.19398,-74.43439,0.06675651347300156
74,2025-03-23 15:11:46,Humpback whale,Megaptera novaeangliae,3,37.40961,-74.55548,0.07897918994906387
75,2025-03-23 15:12:42,Humpback whale,Megaptera novaeangliae,3,37.38307,-74.55037,0.07909330163289592
76,2025-03-23 15:16:42,Fin whale,Balaenoptera physalus,2,37.39766,-74.52956,0.07887253455727831
77,2025-03-23 15:17:32,Fin whale,Balaenoptera physalus,2,37.40942,-74.51557,0.07871029854340604
78,2025-03-23 15:28:11,Fin whale,Balaenoptera physalus,1,37.4434,-74.46194,0.07813598539270904
79,2025-03-23 15:29:04,Fin whale,Balaenoptera physalus,1,37.42966,-74.46908,0.07827084615368986
80,2025-03-25 11:56:47,Common minke whale,Balaenoptera acutorostrata,1,38.28309,-74.29529,0.06320363528961781
81,2025-03-25 12:14:33,Fin whale,Balaenoptera physalus,1,38.04273,-73.90911,0.06235527802078418
82,2025-03-25 12:22:37,Common minke whale,Balaenoptera acutorostrata,1,38.15058,-74.15977,0.06409754030907393
83,2025-03-25 12:25:05,Humpback whale,Megaptera novaeangliae,1,38.18413,-74.23932,0.06467741240683333
84,2025-03-25 12:26:45,Humpback whale,Megaptera novaeangliae,1,38.22727,-74.23258,0.06362830359839464
85,2025-03-28 15:27:11,Fin whale,Balaenoptera physalus,1,38.90541,-72.92221,0.029956261133462114
86,2025-03-28 15:27:55,Fin whale,Balaenoptera physalus,1,38.9159,-72.89889,0.029539211139432274
87,2025-03-23 14:06:57,Humpback whale,Megaptera novaeangliae,1,37.33264,-74.55562,0.07940848710909962
88,2025-03-25 10:17:21,Fin whale,Balaenoptera physalus,1,38.44993,-73.6255,0.04861849391719976
89,2025-03-25 10:18:32,Fin whale,Balaenoptera physalus,1,38.41902,-73.61087,0.04892660929082036
90,2025-03-28 15:40:01,Fin whale,Balaenoptera physalus,1,38.85645,-72.93567,0.030281337189626244
91,2025-03-04 13:02:20,Sperm whale,Physeter macrocephalus,1,37.04632,-74.59676,0.059943608219478486
92,2025-03-04 13:10:54,Fin whale,Balaenoptera physalus,1,37.3009,-74.59182,0.05930637728850191
93,2025-03-11 11:37:18,Humpback whale,Megaptera novaeangliae,1,38.97775,-72.91418,0.03096741145388586
94,2025-03-11 11:38:14,Humpback whale,Megaptera novaeangliae,1,38.95405,-72.92646,0.031073649736430828
95,2025-03-09 12:41:06,Humpback whale,Megaptera novaeangliae,1,37.63767,-74.38167,0.050453015768568345
96,2025-03-11 11:48:24,Fin whale,Balaenoptera physalus,1,38.90687,-72.92903,0.031123477064729413
97,2025-03-09 12:42:37,Humpback whale,Megaptera novaeangliae,1,37.66205,-74.3774,0.050187202991173394
98,2025-03-11 15:42:47,Humpback whale,Megaptera novaeangliae,1,38.78159,-73.16284,0.03295736884882085
99,2025-03-11 15:44:54,Humpback whale,Megaptera novaeangliae,1,38.73944,-73.18727,0.03325100772061481
100,2025-03-09 11:37:00,Humpback whale,Megaptera novaeangliae,1,37.5081,-74.4053,0.05185681997271553
101,2025-03-19 15:17:28,Fin whale,Balaenoptera physalus,2,38.4642,-73.48421,0.04414640563379928
102,2025-03-19 15:18:35,Fin whale,Balaenoptera physalus,2,38.47909,-73.45693,0.04358050277723525
103,2025-03-11 14:10:02,Humpback whale,Megaptera novaeangliae,1,38.82424,-72.97037,0.0314863060880608
104,2025-03-11 14:12:17,Fin whale,Balaenoptera physalus,2,38.80724,-73.04831,0.0320808098224322
105,2025-03-11 14:13:14,Fin whale,Balaenoptera physalus,2,38.79278,-73.06293,0.03220059949980989
106,2025-03-11 14:18:05,Humpback whale,Megaptera novaeangliae,1,38.79443,-73.09417,0.032433312921059575
107,2025-02-15 09:33:15,Fin whale,Balaenoptera physalus,1,37.33901,-74.56844,0.03360160138286822
108,2025-02-15 09:34:25,Fin whale,Balaenoptera physalus,2,37.32115,-74.58614,0.033300926223278376
109,2025-01-25 12:06:03,Humpback whale,Megaptera novaeangliae,2,37.00146,-74.65873,0.01927752210287134
110,2025-02-15 10:50:35,Fin whale,Balaenoptera physalus,1,37.45868,-74.36093,0.03744900773214463
111,2025-02-15 10:51:43,Fin whale,Balaenoptera physalus,1,37.4829,-74.38463,0.03686922887586001
112,2025-01-25 12:06:45,Humpback whale,Megaptera novaeangliae,2,37.01329,-74.64159,0.019816554686170013
113,2025-01-25 12:07:47,Fin whale,Balaenoptera physalus,2,37.00016,-74.63312,0.019868919506292944
114,2025-01-25 12:34:25,Fin whale,Balaenoptera physalus,1,37.10707,-74.55015,0.02289833152799231
115,2025-01-25 12:35:08,Humpback whale,Megaptera novaeangliae,2,37.12296,-74.53705,0.023343454942162764
116,2025-01-25 12:35:38,Humpback whale,Megaptera novaeangliae,2,37.13241,-74.54776,0.023202731689147188
117,2025-02-23 13:24:23,Sperm whale,Physeter macrocephalus,1,37.59155,-74.27434,0.030316370000550458
118,2025-02-23 13:25:18,Sperm whale,Physeter macrocephalus,1,37.60274,-74.24987,0.0301821569311242
119,2025-02-22 11:27:40,Beaked whales,Hyperoodontidae,5,38.3245,-73.52472,0.03997635088147099
120,2025-02-22 11:28:44,Beaked whales,Hyperoodontidae,5,38.33333,-73.51281,0.04012066225110309
